2026-04-08 21:06:20.024 | INFO     | __main__:main:605 | Logging to loga.log
2026-04-08 21:15:01.408 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 1201(0x00000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000f80ba001f89a)
2026-04-08 21:15:01.467 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x12\x01\x02\xf9\x01\x00\x00')
2026-04-08 21:15:01.467 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.DATA_PACKET(4609) to bytearray 0x1201
2026-04-08 21:15:01.467 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.DATA_PACKET(0x00000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000f80ba001f89a) -> 0x120102f9010000
2026-04-08 21:15:01.467 | ERROR    | sendpp1.core.machine:transfer:847 | Data packet 1/4 REJECTED status=2 extra=505 (offset=0, chunk_len=505, csum=0x9A)
2026-04-08 21:15:01.471 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:01.471 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:01.527 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:01.587 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:01.588 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:01.588 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:02.589 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:02.590 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:02.638 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:02.698 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:02.698 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:02.698 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:03.699 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:03.700 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:03.747 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:03.807 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:03.807 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:03.807 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:04.809 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:04.809 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:04.857 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:04.917 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:04.917 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:04.917 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:05.919 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:05.919 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:05.967 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:06.027 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:06.027 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:06.028 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:07.029 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:07.029 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:07.077 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:07.137 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:07.137 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:07.137 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:08.138 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:08.138 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:08.187 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:08.247 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:08.247 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:08.248 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:15:09.249 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:09.249 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:15:09.297 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:15:09.358 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:15:09.358 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:15:09.358 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:32:17.628 | INFO     | __main__:main:605 | Logging to loga.log
